smiles,0,1,2
C=CC(CC#N)C1C(C)C(C)C1C,8388608,"{541731: 2, 541732: 1, 558116: 2, 558117: 1, 574497: 3, 574498: 6, 574499: 5, 574500: 1, 574529: 1, 574530: 1, 574531: 2, 574532: 1, 574561: 5, 574562: 4, 574563: 1, 672805: 2, 672806: 1, 672835: 1, 672866: 1, 672867: 1, 672868: 2, 672869: 1, 689188: 2, 689189: 1, 689218: 1, 689249: 1, 689250: 1, 689251: 2, 689252: 1, 689441: 1, 820261: 2, 820262: 1, 820289: 1, 820322: 1, 820323: 1, 820324: 2, 820325: 1, 820516: 1, 820547: 1, 1328166: 2, 1328167: 1, 1328194: 1, 1328227: 1, 1328228: 1, 1328229: 2, 1328230: 1, 1328421: 1, 1328452: 1, 1328705: 1}",<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x121ff04a0>
C=NN(CCC)C(C)C(=O)NO,8388608,"{541733: 1, 558113: 1, 558114: 1, 558115: 1, 558116: 1, 558145: 1, 574497: 1, 574500: 1, 574530: 1, 574531: 1, 672804: 1, 672805: 1, 672835: 1, 672836: 1, 672867: 1, 705570: 1, 705573: 1, 705603: 1, 705604: 1, 705633: 1, 705828: 1, 1082403: 1, 1082406: 1, 1082436: 1, 1082437: 1, 1082466: 1, 1082661: 1, 1082721: 1, 1098786: 1, 1098787: 1, 1098817: 1, 1098818: 1, 1098849: 1, 1099042: 1, 1099106: 1, 1099843: 1, 1213475: 1, 1213476: 1, 1213506: 1, 1213507: 1, 1213538: 1, 1213729: 1, 1213795: 1, 1214532: 1, 1214561: 1, 1590308: 1, 1590311: 1, 1590341: 1, 1590342: 1, 1590371: 1, 1590566: 1, 1590626: 1, 1591361: 1, 1591396: 1, 1591621: 1, 1721379: 1, 1721382: 1, 1721412: 1, 1721413: 1, 1721442: 1, 1721637: 1, 1721697: 1, 1722434: 1, 1722467: 1, 1722692: 1, 1723427: 1}",<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x121ff03c0>
CC(C=NN)C1CCC1C(=O)O,8388608,"{558115: 1, 558116: 1, 558145: 1, 574497: 1, 574498: 1, 574499: 1, 574529: 2, 574530: 3, 574531: 1, 574561: 2, 574562: 1, 689186: 1, 689219: 1, 689220: 1, 689249: 1, 689250: 1, 689251: 1, 705572: 1, 705602: 1, 705603: 1, 705633: 1, 705634: 1, 705635: 1, 705860: 1, 1066020: 1, 1066053: 1, 1066054: 1, 1066083: 1, 1066084: 1, 1066085: 1, 1066306: 1, 1066342: 1, 1213475: 1, 1213508: 1, 1213509: 1, 1213538: 1, 1213539: 1, 1213540: 1, 1213761: 1, 1213797: 1, 1214497: 1, 1590309: 1, 1590339: 1, 1590340: 1, 1590370: 1, 1590371: 1, 1590372: 1, 1590597: 1, 1590625: 1, 1591335: 1, 1591622: 1, 1721381: 1, 1721411: 1, 1721412: 1, 1721442: 1, 1721443: 1, 1721444: 1, 1721669: 1, 1721697: 1, 1722407: 1, 1722694: 1, 1723426: 1}",<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x121ff0510>
CC=CC(=C1C=NNC1)N1CC1C,8388608,"{541734: 1, 558114: 1, 558117: 3, 558148: 1, 574497: 1, 574501: 1, 574529: 1, 574532: 1, 689185: 1, 689186: 1, 689188: 1, 689189: 3, 689218: 1, 689219: 2, 689220: 3, 689251: 1, 689252: 2, 689473: 1, 689475: 1, 689476: 1, 705571: 2, 705572: 2, 705601: 1, 705602: 2, 705603: 1, 705634: 1, 705635: 1, 705857: 2, 705858: 3, 705859: 1, 705889: 1, 1082406: 2, 1082433: 1, 1082437: 1, 1082469: 1, 1082690: 1, 1082692: 1, 1082693: 1, 1082722: 1, 1082723: 1, 1098786: 1, 1098788: 1, 1098817: 1, 1098819: 1, 1098849: 1, 1099074: 1, 1099075: 2, 1099105: 1, 1099106: 1, 1099844: 1, 1213478: 2, 1213506: 1, 1213509: 1, 1213541: 1, 1213761: 1, 1213764: 1, 1213765: 1, 1213794: 1, 1213795: 1, 1214529: 1, 1214564: 1}",<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x121ff0580>
C#CC(CC(N)=O)NC(=S)N1CC1,8388608,"{558145: 1, 558149: 2, 574529: 1, 574532: 2, 705601: 1, 705602: 2, 705603: 1, 705606: 2, 705634: 2, 705892: 1, 803907: 1, 803910: 2, 803938: 1, 804196: 2, 820290: 1, 820293: 2, 820321: 1, 820579: 2, 820769: 1, 1066050: 1, 1066055: 2, 1066083: 1, 1066337: 1, 1066341: 1, 1066533: 1, 1066564: 1, 1082434: 1, 1082435: 2, 1082465: 1, 1082721: 1, 1082723: 1, 1082915: 1, 1082946: 1, 1083428: 1, 1098817: 2, 1098820: 1, 1098851: 1, 1099105: 1, 1099109: 1, 1099301: 1, 1099332: 1, 1099814: 1, 1099842: 1, 1721410: 1, 1721415: 2, 1721443: 1, 1721697: 1, 1721701: 1, 1721893: 1, 1721924: 1, 1722402: 1, 1722436: 1, 1722470: 1, 3818563: 2, 3818564: 1, 3818595: 1, 3818849: 1, 3818853: 1, 3819045: 1, 3819076: 1, 3819558: 1, 3819586: 1, 3819618: 1, 3820838: 1}",<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x121ff2e30>
CC1CCc2oc(C(=N)N)nc21,8388608,"{558114: 1, 558115: 1, 558145: 1, 574497: 1, 574529: 1, 574530: 1, 705570: 1, 705571: 1, 705572: 1, 705573: 1, 705601: 1, 705602: 3, 705603: 1, 705604: 2, 705605: 1, 705633: 1, 705634: 1, 705635: 1, 705636: 1, 705889: 2, 705890: 2, 705891: 2, 1066022: 1, 1066053: 1, 1066054: 1, 1066085: 1, 1066337: 1, 1066338: 1, 1066340: 2, 1197094: 1, 1197125: 1, 1197126: 1, 1197157: 1, 1197409: 1, 1197410: 1, 1197412: 2, 1198114: 1, 1213475: 1, 1213507: 2, 1213538: 1, 1213793: 2, 1213794: 2, 1214499: 1, 1214755: 1, 1737764: 1, 1737794: 1, 1737795: 1, 1737827: 1, 1738081: 2, 1738082: 2, 1738787: 1, 1739043: 1, 1739074: 1}",<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x121ff2dc0>
NC1=NOCC1=C(N)CC=O,8388608,"{558147: 1, 689217: 1, 689220: 1, 705601: 2, 705602: 3, 705603: 1, 705858: 1, 705859: 1, 705860: 1, 705889: 2, 705890: 1, 1066050: 1, 1066051: 2, 1066052: 1, 1066307: 1, 1066309: 1, 1066337: 2, 1066338: 2, 1066339: 2, 1067044: 1, 1213506: 1, 1213508: 1, 1213765: 1, 1213793: 1, 1213794: 1, 1213795: 1, 1214498: 1, 1214500: 1, 1606721: 1, 1606724: 1, 1606981: 1, 1607010: 2, 1607011: 1, 1607715: 1, 1607716: 1, 1608001: 1, 1721410: 1, 1721413: 1, 1721665: 1, 1721699: 1, 1721700: 1, 1721701: 1, 1722404: 1, 1722406: 1, 1722694: 1, 1723462: 1}",<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x121ff2ea0>
C#CC1NN=CC2(C)C(=O)C1C2C,8388608,"{541731: 1, 574497: 1, 574498: 2, 574499: 2, 574500: 1, 574561: 2, 574562: 1, 590881: 1, 590882: 1, 590945: 1, 590946: 1, 590947: 1, 689186: 1, 689187: 1, 689250: 1, 689251: 2, 689281: 1, 705570: 1, 705571: 1, 705633: 1, 705634: 2, 705665: 1, 705858: 1, 803877: 1, 803878: 1, 803938: 1, 803939: 1, 803940: 1, 803973: 1, 804165: 1, 804196: 1, 820260: 1, 820261: 1, 820321: 1, 820322: 1, 820323: 1, 820356: 1, 820548: 1, 820579: 1, 820769: 1, 1082404: 2, 1082465: 1, 1082466: 1, 1082467: 1, 1082499: 1, 1082690: 1, 1082723: 1, 1082915: 1, 1082946: 1, 1213475: 1, 1213476: 1, 1213538: 1, 1213539: 2, 1213570: 1, 1213761: 1, 1213795: 1, 1213988: 1, 1214019: 1, 1214529: 1, 1721379: 1, 1721380: 1, 1721442: 1, 1721443: 2, 1721474: 1, 1721667: 1, 1721697: 1, 1721893: 1, 1721924: 1, 1722436: 1, 1722692: 1}",<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x121ff2f10>
CC1NC1C12NC1C1CCOC2O1,8388608,"{558118: 2, 558145: 1, 574497: 1, 574498: 1, 574500: 2, 574501: 1, 574529: 1, 574530: 3, 574531: 2, 574532: 2, 574533: 2, 574561: 2, 574562: 4, 574563: 3, 574564: 1, 590883: 1, 590915: 2, 590945: 3, 590946: 2, 1082402: 1, 1082404: 1, 1082435: 1, 1082436: 1, 1082437: 2, 1082465: 3, 1082466: 3, 1082467: 3, 1082468: 1, 1082497: 1, 1082498: 1, 1083459: 1, 1606693: 2, 1606721: 1, 1606722: 2, 1606723: 1, 1606753: 3, 1606754: 1, 1606755: 4, 1606756: 2, 1606786: 2, 1607747: 2, 1607748: 2, 1608770: 1}",<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x121ff2f80>
C1CN2CC2C(N2CC2)C2OC12,8388608,"{558145: 2, 558146: 1, 558147: 1, 558148: 2, 558149: 4, 574529: 2, 574530: 6, 574531: 9, 574532: 3, 574561: 3, 574562: 2, 574563: 1, 1098817: 4, 1098818: 1, 1098819: 1, 1098820: 4, 1098849: 2, 1098850: 3, 1098851: 3, 1099875: 1, 1606722: 1, 1606723: 1, 1606724: 3, 1606753: 2, 1606754: 1, 1606755: 1, 1607779: 1, 1607780: 1}",<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x121ff2ff0>
