smiles,0,1,2
C=CC(CC#N)C1C(C)C(C)C1C,68719476735,"{4303634976: 2, 4572070432: 8, 4572070433: 2, 4572070434: 6, 5379211809: 1, 5379211810: 1, 5511594530: 2, 6585074210: 1, 6585074217: 1, 10750017570: 1}",<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x11c628510>
C=NN(CCC)C(C)C(=O)NO,68719476735,"{4446241312: 1, 4580458529: 1, 5387616801: 1, 5387616802: 1, 5645828641: 1, 8734917152: 1, 8866775072: 1, 8867041857: 1, 9814949921: 1, 9814950432: 1, 9814950442: 1, 12901700130: 1, 13969408544: 1, 13969408578: 1, 13969424480: 1}",<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x11c628430>
CC(C=NN)C1CCC1C(=O)O,68719476735,"{4437852704: 1, 4437852705: 1, 4571807778: 1, 4572069921: 3, 4572070432: 1, 4572070433: 1, 5511594529: 1, 5511594530: 1, 5645811745: 1, 5645812257: 1, 5645812258: 1, 8608829474: 1, 9808396832: 1, 9808396834: 1, 12895666721: 1, 12895666722: 1, 13969408545: 1, 13969408546: 1}",<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x11c628580>
CC=CC(=C1C=NNC1)N1CC1C,68719476735,"{4446241312: 1, 5513695777: 1, 5513695785: 1, 5513708065: 1, 5513708066: 1, 5521834017: 1, 5647650848: 1, 5647913001: 1, 5647925793: 1, 5647925794: 1, 5654200354: 1, 5654200864: 1, 5654200865: 1, 8732561961: 1, 8732561962: 1, 8743047210: 1, 8866775584: 1, 8867037250: 1, 8869138473: 1, 8869138977: 1, 8869138985: 1, 9808400929: 1, 9808400938: 1, 9814687786: 1}",<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x11c6285f0>
C#CC(CC(N)=O)NC(=S)N1CC1,68719476735,"{5653938721: 1, 5654200353: 2, 6455050785: 1, 6585335850: 1, 6585352234: 1, 8600698914: 1, 8732819498: 1, 8732827696: 1, 8734933537: 2, 8866775106: 1, 8869150754: 1, 13969408034: 1, 31149293602: 1, 31149294113: 2}",<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x11c62aea0>
CC1CCc2oc(C(=N)N)nc21,68719476735,"{4437590560: 1, 4574171681: 1, 5645549602: 1, 5645811745: 1, 5647908897: 1, 5647909408: 1, 5647909409: 1, 5656039970: 1, 5656039978: 2, 5664428577: 1, 5664428586: 2, 9808658976: 1, 9808658977: 1, 9808663073: 1, 9808663104: 1, 9808663112: 1, 9808695338: 1, 14103625761: 1, 14103630370: 1, 14103630400: 1, 14103630408: 1, 14103630409: 1, 14103646250: 1}",<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x11c62ae30>
NC1=NOCC1=C(N)CC=O,68719476735,"{4439953953: 1, 5647908905: 1, 5647913505: 1, 5656068129: 1, 8600698921: 1, 8600703521: 2, 8600703530: 2, 9808663073: 1, 9808663082: 1, 9823076394: 1, 13027529258: 2, 13038015018: 1, 13038015040: 1, 13969145898: 1}",<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x11c62af10>
C#CC1NN=CC2(C)C(=O)C1C2C,68719476735,"{4303897120: 1, 4572070432: 1, 4572070944: 1, 4574168096: 1, 4574168098: 1, 4706288162: 1, 4708385314: 2, 5511856672: 1, 5511856674: 1, 5511860770: 1, 5521834018: 1, 5645812256: 1, 5645812259: 1, 5646074400: 1, 5646074402: 1, 6455050786: 1, 6585336354: 1, 6585336362: 1, 8732820002: 1, 8732820010: 1, 8732827696: 1, 8743047203: 1, 9808397344: 1, 9808397346: 1, 9808397354: 1, 9814688290: 1, 9814688305: 1, 13969408546: 2, 13969409056: 1, 13969409058: 1, 13969409065: 1}",<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x11c62af80>
CC1NC1C12NC1C1CCOC2O1,68719476735,"{4572069921: 1, 4572332578: 4, 4580196896: 1, 4580196898: 1, 4580197410: 2, 4588584993: 1, 4588585505: 1, 4588585506: 1, 4706288160: 1, 4706288161: 1, 4706304034: 1, 4706320417: 1, 4706320418: 1, 4714414626: 1, 4714414627: 1, 8732820000: 1, 8732820001: 1, 8732820003: 1, 8732820514: 4, 8733082146: 2, 8733082177: 1, 13027524642: 1, 13027786785: 1, 13027787299: 1, 13027787329: 1, 13027787810: 4, 13027787841: 2, 13027819553: 1, 13027819554: 1}",<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x11c62aff0>
C1CN2CC2C(N2CC2)C2OC12,68719476735,"{4446240801: 1, 4446241313: 1, 4571824673: 1, 4572069921: 1, 4572070433: 2, 4572070434: 1, 4572086817: 6, 4580458529: 3, 4588585505: 1, 4588585506: 2, 8866775074: 1, 8866775106: 1, 8866775586: 1, 8867037250: 1, 8867037729: 1, 8867037730: 2, 8867037762: 1, 13027786785: 1, 13027787297: 1, 13027787298: 2, 13027787330: 1}",<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x11c62b060>
